50 1177
1 2 1
1 3 100.1
1 4 100.1
1 5 100.1
1 6 100.1
1 7 100.1
1 8 100.1
1 9 100.1
1 10 100.1
1 11 100.1
1 12 100.1
1 13 100.1
1 14 100.1
1 15 100.1
1 16 100.1
1 17 100.1
1 18 100.1
1 19 100.1
1 20 100.1
1 21 100.1
1 22 100.1
1 23 100.1
1 24 100.1
1 25 100.1
1 26 100.1
1 27 100.1
1 28 100.1
1 29 100.1
1 30 100.1
1 31 100.1
1 32 100.1
1 33 100.1
1 34 100.1
1 35 100.1
1 36 100.1
1 37 100.1
1 38 100.1
1 39 100.1
1 40 100.1
1 41 100.1
1 42 100.1
1 43 100.1
1 44 100.1
1 45 100.1
1 46 100.1
1 47 100.1
1 48 100.1
1 49 100.1
2 3 2
2 4 100.1
2 5 100.1
2 6 100.1
2 7 100.1
2 8 100.1
2 9 100.1
2 10 100.1
2 11 100.1
2 12 100.1
2 13 100.1
2 14 100.1
2 15 100.1
2 16 100.1
2 17 100.1
2 18 100.1
2 19 100.1
2 20 100.1
2 21 100.1
2 22 100.1
2 23 100.1
2 24 100.1
2 25 100.1
2 26 100.1
2 27 100.1
2 28 100.1
2 29 100.1
2 30 100.1
2 31 100.1
2 32 100.1
2 33 100.1
2 34 100.1
2 35 100.1
2 36 100.1
2 37 100.1
2 38 100.1
2 39 100.1
2 40 100.1
2 41 100.1
2 42 100.1
2 43 100.1
2 44 100.1
2 45 100.1
2 46 100.1
2 47 100.1
2 48 100.1
2 49 100.1
3 4 3
3 5 100.1
3 6 100.1
3 7 100.1
3 8 100.1
3 9 100.1
3 10 100.1
3 11 100.1
3 12 100.1
3 13 100.1
3 14 100.1
3 15 100.1
3 16 100.1
3 17 100.1
3 18 100.1
3 19 100.1
3 20 100.1
3 21 100.1
3 22 100.1
3 23 100.1
3 24 100.1
3 25 100.1
3 26 100.1
3 27 100.1
3 28 100.1
3 29 100.1
3 30 100.1
3 31 100.1
3 32 100.1
3 33 100.1
3 34 100.1
3 35 100.1
3 36 100.1
3 37 100.1
3 38 100.1
3 39 100.1
3 40 100.1
3 41 100.1
3 42 100.1
3 43 100.1
3 44 100.1
3 45 100.1
3 46 100.1
3 47 100.1
3 48 100.1
3 49 100.1
4 5 4
4 6 100.1
4 7 100.1
4 8 100.1
4 9 100.1
4 10 100.1
4 11 100.1
4 12 100.1
4 13 100.1
4 14 100.1
4 15 100.1
4 16 100.1
4 17 100.1
4 18 100.1
4 19 100.1
4 20 100.1
4 21 100.1
4 22 100.1
4 23 100.1
4 24 100.1
4 25 100.1
4 26 100.1
4 27 100.1
4 28 100.1
4 29 100.1
4 30 100.1
4 31 100.1
4 32 100.1
4 33 100.1
4 34 100.1
4 35 100.1
4 36 100.1
4 37 100.1
4 38 100.1
4 39 100.1
4 40 100.1
4 41 100.1
4 42 100.1
4 43 100.1
4 44 100.1
4 45 100.1
4 46 100.1
4 47 100.1
4 48 100.1
4 49 100.1
5 6 5
5 7 100.1
5 8 100.1
5 9 100.1
5 10 100.1
5 11 100.1
5 12 100.1
5 13 100.1
5 14 100.1
5 15 100.1
5 16 100.1
5 17 100.1
5 18 100.1
5 19 100.1
5 20 100.1
5 21 100.1
5 22 100.1
5 23 100.1
5 24 100.1
5 25 100.1
5 26 100.1
5 27 100.1
5 28 100.1
5 29 100.1
5 30 100.1
5 31 100.1
5 32 100.1
5 33 100.1
5 34 100.1
5 35 100.1
5 36 100.1
5 37 100.1
5 38 100.1
5 39 100.1
5 40 100.1
5 41 100.1
5 42 100.1
5 43 100.1
5 44 100.1
5 45 100.1
5 46 100.1
5 47 100.1
5 48 100.1
5 49 100.1
6 7 6
6 8 100.1
6 9 100.1
6 10 100.1
6 11 100.1
6 12 100.1
6 13 100.1
6 14 100.1
6 15 100.1
6 16 100.1
6 17 100.1
6 18 100.1
6 19 100.1
6 20 100.1
6 21 100.1
6 22 100.1
6 23 100.1
6 24 100.1
6 25 100.1
6 26 100.1
6 27 100.1
6 28 100.1
6 29 100.1
6 30 100.1
6 31 100.1
6 32 100.1
6 33 100.1
6 34 100.1
6 35 100.1
6 36 100.1
6 37 100.1
6 38 100.1
6 39 100.1
6 40 100.1
6 41 100.1
6 42 100.1
6 43 100.1
6 44 100.1
6 45 100.1
6 46 100.1
6 47 100.1
6 48 100.1
6 49 100.1
7 8 7
7 9 100.1
7 10 100.1
7 11 100.1
7 12 100.1
7 13 100.1
7 14 100.1
7 15 100.1
7 16 100.1
7 17 100.1
7 18 100.1
7 19 100.1
7 20 100.1
7 21 100.1
7 22 100.1
7 23 100.1
7 24 100.1
7 25 100.1
7 26 100.1
7 27 100.1
7 28 100.1
7 29 100.1
7 30 100.1
7 31 100.1
7 32 100.1
7 33 100.1
7 34 100.1
7 35 100.1
7 36 100.1
7 37 100.1
7 38 100.1
7 39 100.1
7 40 100.1
7 41 100.1
7 42 100.1
7 43 100.1
7 44 100.1
7 45 100.1
7 46 100.1
