20 54
1 2 1
1 3 100.1
1 4 100.1
2 3 2
2 4 100.1
2 5 100.1
3 4 3
3 5 100.1
3 6 100.1
4 5 4
4 6 100.1
4 7 100.1
5 6 5
5 7 100.1
5 8 100.1
6 7 6
6 8 100.1
6 9 100.1
7 8 7
7 9 100.1
7 10 100.1
8 9 8
8 10 100.1
8 11 100.1
9 10 9
9 11 100.1
9 12 100.1
10 11 10
10 12 100.1
10 13 100.1
11 12 11
11 13 100.1
11 14 100.1
12 13 12
12 14 100.1
12 15 100.1
13 14 13
13 15 100.1
13 16 100.1
14 15 14
14 16 100.1
14 17 100.1
15 16 15
15 17 100.1
15 18 100.1
16 17 16
16 18 100.1
16 19 100.1
17 18 17
17 19 100.1
17 20 100.1
18 19 18
18 20 100.1
19 20 19
4
1 20 400
1 20 8.7
4 8 9.1
4 9 7.5
