50 144
1 2 1
1 3 100.1
1 4 100.1
2 3 2
2 4 100.1
2 5 100.1
3 4 3
3 5 100.1
3 6 100.1
4 5 4
4 6 100.1
4 7 100.1
5 6 5
5 7 100.1
5 8 100.1
6 7 6
6 8 100.1
6 9 100.1
7 8 7
7 9 100.1
7 10 100.1
8 9 8
8 10 100.1
8 11 100.1
9 10 9
9 11 100.1
9 12 100.1
10 11 10
10 12 100.1
10 13 100.1
11 12 11
11 13 100.1
11 14 100.1
12 13 12
12 14 100.1
12 15 100.1
13 14 13
13 15 100.1
13 16 100.1
14 15 14
14 16 100.1
14 17 100.1
15 16 15
15 17 100.1
15 18 100.1
16 17 16
16 18 100.1
16 19 100.1
17 18 17
17 19 100.1
17 20 100.1
18 19 18
18 20 100.1
18 21 100.1
19 20 19
19 21 100.1
19 22 100.1
20 21 20
20 22 100.1
20 23 100.1
21 22 21
21 23 100.1
21 24 100.1
22 23 22
22 24 100.1
22 25 100.1
23 24 23
23 25 100.1
23 26 100.1
24 25 24
24 26 100.1
24 27 100.1
25 26 25
25 27 100.1
25 28 100.1
26 27 26
26 28 100.1
26 29 100.1
27 28 27
27 29 100.1
27 30 100.1
28 29 28
28 30 100.1
28 31 100.1
29 30 29
29 31 100.1
29 32 100.1
30 31 30
30 32 100.1
30 33 100.1
31 32 31
31 33 100.1
31 34 100.1
32 33 32
32 34 100.1
32 35 100.1
33 34 33
33 35 100.1
33 36 100.1
34 35 34
34 36 100.1
34 37 100.1
35 36 35
35 37 100.1
35 38 100.1
36 37 36
36 38 100.1
36 39 100.1
37 38 37
37 39 100.1
37 40 100.1
38 39 38
38 40 100.1
38 41 100.1
39 40 39
39 41 100.1
39 42 100.1
40 41 40
40 42 100.1
40 43 100.1
41 42 41
41 43 100.1
41 44 100.1
42 43 42
42 44 100.1
42 45 100.1
43 44 43
43 45 100.1
43 46 100.1
44 45 44
44 46 100.1
44 47 100.1
45 46 45
45 47 100.1
45 48 100.1
46 47 46
46 48 100.1
46 49 100.1
47 48 47
47 49 100.1
47 50 100.1
48 49 48
48 50 100.1
49 50 49
4
1 50 400
1 50 8.7
4 8 9.1
4 9 7.5
